name,lat,lng
Taj Mahal,27.1750,78.0419
Qutub Minar,28.5244,77.1852
Red Fort,28.6565,77.2429
India Gate,28.6129,77.2296
Hawa Mahal,26.9210,75.8490
Gateway of India,18.9221,72.8346
Charminar,17.3616,78.4747
Mysore Palace,12.3039,76.6547
Amer Fort,26.9855,75.8513
Konark Sun Temple,19.8896,86.0946
Sanchi Stupa,23.6349,77.7441
Victoria Memorial,22.5440,88.3426
Meenakshi Temple,9.9190,78.1190
Fatehpur Sikri,27.0900,77.6610
Jaisalmer Fort,26.9124,70.9200
Chittorgarh Fort,24.8792,74.6269
Ajanta Caves,20.5473,75.7000
Ellora Caves,20.0147,75.2900
Golden Temple,31.6200,74.8765
Brihadeeswarar Temple,10.7840,79.1310
Shore Temple,12.6250,80.2111
Ramanathaswamy Temple,9.2880,79.3120
Kapaleeshwarar Temple,13.0350,80.2670
Kanchipuram Temples,12.8310,79.7050
Thiruvannamalai Arunachaleswarar Temple,12.2260,79.0740
Rockfort Temple,10.7900,78.7040
Srivilliputhur Andal Temple,9.5170,77.5900
Hampi,15.3350,76.4600
Gol Gumbaz,17.3667,75.7133
Belur and Halebidu Temples,13.0020,75.8780
Badami Caves,15.8800,75.7030
Mysore Chamundeshwari Temple,12.3050,76.6540
Tirumala Venkateswara Temple,13.6830,79.3830
Lepakshi Temple,13.6840,77.6870
Undavalli Caves,16.5167,80.6222
Borra Caves,19.7960,83.3170
Belum Caves,15.0520,78.4210
Golconda Fort,17.3840,78.4010
Chowmahalla Palace,17.3616,78.4747
Warangal Fort,17.9780,79.5940
Thousand Pillar Temple,17.9780,79.5940
Ramoji Film City,17.2490,78.3560
